target_uniprot_id	compound_bindingdb_id	pEC50
P04150	50012201	-0.959
P04150	50172020	6.921
P04150	50172023	6.688
P04150	50172033	6.886
P04150	50172022	7.8
P04150	50172040	5.625
P04150	50172025	6.854
P04150	50172019	6.215
P04150	50172035	6.119
P04150	50172021	7.085
P04150	50172024	6.377
P04150	50172027	6.886
P04150	50172030	6.208
P04150	50172028	6.824
P04150	50377346	8.036
P04150	50377348	6.364
P04150	50377349	4.319
P04150	50377338	7.119
P04150	50377350	7.337
P04150	50377345	5.125
P04150	50377340	6.275
P04150	50377351	6.719
P04150	50269240	4.125
P04150	50269239	3.762
P04150	50249106	7.042
P04150	50249107	6.23
P04150	50249142	6.035
P04150	50249145	5.908
P04150	50249192	6.53
P04150	50249193	6.94
P04150	50249194	6.265
P04150	50249108	5.972
P04150	50249109	5.936
P04150	50249146	6.426
P04150	50249147	6.114
P04150	50249148	7.229
P04150	50249149	7.014
P04150	50249195	7.324
P04150	50249196	7.163
P04150	50249197	6.077
P04150	50303832	6.59
P04150	50303824	7.336
P04150	50303826	7.528
P04150	50303827	7.505
P04150	50303828	7.049
P04150	50303829	6.991
P04150	50303830	7.334
P04150	50303831	7.627
P04150	50303810	7.16
P04150	50303811	7.288
P04150	50303812	7.505
P04150	50303814	6.746
P04150	50303816	6.767
P04150	50303818	6.56
P04150	50303820	7.503
P04150	50303823	6.604
P04150	50303806	7.104
P04150	50303807	6.476
P04150	50303808	6.137
P04150	50303809	6.025
P04150	50303813	7.866
P04150	50303815	7.173
P04150	50303819	7.371
P04150	50303821	7.281
P04150	50303822	7.509
P04150	50303834	6.083
P04150	50316561	6.495
P04150	50316567	6.203
P04150	50316562	6.951
P04150	50316569	7.032
P04150	50316566	7.089
P04150	50326943	8
P04150	50326945	7.456
P04150	50326946	7.523
P04150	50326949	7.523
P04150	50326959	7.161
P04150	50326957	6.921
P04150	50326948	7.347
P04150	50326958	7.347
P04150	53721	3.525
P04150	50334961	5.137
P04150	50334962	5.252
P04150	50334951	4.294
P04150	50334952	4.597
P04150	50334953	3.961
P04150	50334954	3.908
P04150	50334955	3.963
P04150	50334956	3.996
P04150	50334957	3.886
P04150	50334958	3.978
P04150	50334959	4.001
P04150	50348400	6.442
P04150	50348404	7.021
P04150	50348405	7.558
P04150	50348407	7.312
P04150	50348410	7.062
P04150	50348411	7.393
P04150	50348412	7.652
P04150	50348413	6.907
P04150	50348414	7.644
P04150	50348398	5.867
P04150	50348409	5.634
P04150	50348408	6.491
P04150	50153512	8.252
P04150	50411477	7.87
P04150	50411489	7.293
P04150	50411479	7.58
P04150	50411480	7.42
P04150	50411475	7.89
P04150	50411481	7.335
P04150	50411485	7.2
P04150	50411488	7.26
P04150	50411487	7.49
P04150	50411483	7.38
P04150	50411491	7.29
P04150	50412519	8.699
P04150	50412605	7.45
P04150	50254464	7.35
P04150	50412606	7.7
P04150	50254465	6.8
P04150	50254466	8.699
P04150	50254513	8.1
P04150	50412607	7.6
P04150	50412608	6.6
P04150	50412609	7.3
P04150	50412611	6.5
P04150	50412612	7.3
P04150	50412613	6.1
P04150	50254679	7.4
P04150	50412614	8.5
P04150	50254760	7.3
P04150	50254759	7.3
P04150	50412616	7.6
P04150	50254723	6.6
P04150	50416103	6.6
P04150	50416105	6.6
P04150	50416076	6.5
P04150	50416078	6.2
P04150	50416100	7.7
P04150	50416075	6.9
P04150	50416102	6.8
P04150	50416106	6.699
P04150	50416077	6.699
P04150	50416101	6.6
P04150	50416868	7.1
P04150	50416873	7.6
P04150	50416869	7.9
